Card ID,Card Name,Card Type
34541863,\"A\" Cell Breeding Device,Spell Card
64163367,\"A\" Cell Incubator,Spell Card
91231901,\"A\" Cell Recombination Device,Spell Card
73262676,\"A\" Cell Scatter Burst,Spell Card
37478723,\"Infernoble Arms - Durendal\",Spell Card
64867422,\"Infernoble Arms - Hauteclere\",Spell Card
90861137,\"Infernoble Arms - Joyeuse\",Spell Card
44256816,1st Movement Solo,Spell Card
86988864,3-Hump Lacooda,Effect Monster
11714098,,30,,000-Year White Turtle,,Normal Monster
83994646,4-Starred Ladybug of Doom,Flip Effect Monster
67048711,7,Spell Card
23771716,7 Colored Fish,Normal Monster
86198326,7 Completed,Spell Card
14261867,8-Claws Scorpion,Effect Monster
24140059,A Cat of Ill Omen,Flip Effect Monster
6850209,A Deal with Dark Ruler,Spell Card
49140998,A Feather of the Phoenix,Spell Card
68170903,A Feint Plan,Trap Card
21597117,A Hero Emerges,Trap Card
8949584,A Hero Lives,Spell Card
295517,A Legendary Ocean,Spell Card
32207100,A Major Upset,Trap Card
51351302,A Man with Wdjat,Effect Monster
5728014,A Rival Appears!,Trap Card
23587624,A Wild Monster Appears!,Spell Card
28596933,A Wingbeat of Giant Dragon,Spell Card
30012506,A-Assault Core,Union Effect Monster
13026402,A-Team: Trap Disposal Unit,Effect Monster
65172015,A-to-Z-Dragon Buster Cannon,Fusion Monster
10493654,A.I. Contact,Spell Card
59332125,A.I. Love Fusion,Spell Card
77421977,A.I. Shadow,Trap Card
85327820,A.I.'s Ritual,Spell Card
22933016,A.I.dle Reborn,Spell Card
69381150,A.I.Q,Trap Card
96146814,A/D Changer,Effect Monster
12694768,Abaki,Effect Monster
89718302,Abare Ushioni,Effect Monster
1561110,ABC-Dragon Buster,Fusion Monster
80801743,Abominable Chamber of the Unchained,Trap Card
1966438,Abominable Unchained Soul,Effect Monster
27412542,Abomination's Prison,Spell Card
70832512,Absolute Crusader,Effect Monster
27744077,Absolute End,Trap Card
60990740,Absolute King Back Jack,Effect Monster
71422989,Absorb Fusion,Spell Card
3900605,Absorbing Jar,Flip Effect Monster
49771608,Absorbing Kid from the Sky,Effect Monster
67748760,Absorouter Dragon,Effect Monster
15308295,Abyss Actor - Comic Relief,Pendulum Effect Monster
44179224,Abyss Actor - Curtain Raiser,Pendulum Effect Monster
52240819,Abyss Actor - Evil Heel,Pendulum Effect Monster
88412339,Abyss Actor - Extras,Pendulum Effect Monster
99634927,Abyss Actor - Funky Comedian,Pendulum Effect Monster
2368215,Abyss Actor - Hyper Director,Link Monster
24907044,Abyss Actor - Leading Lady,Pendulum Effect Monster
78310590,Abyss Actor - Mellow Madonna,Pendulum Effect Monster
51028231,Abyss Actor - Sassy Rookie,Pendulum Effect Monster
25629622,Abyss Actor - Superstar,Pendulum Effect Monster
39024589,Abyss Actor - Trendy Understudy,Pendulum Effect Monster
7279373,Abyss Actor - Twinkle Little Star,Pendulum Effect Monster
51391183,Abyss Actor - Wild Hope,Pendulum Effect Monster
59057953,Abyss Actors Back Stage,Trap Card
4682617,Abyss Actors' Curtain Call,Trap Card
